observed,year,month,day,place,lat,lng
2017-05-15,2017,5,15,"7914 E Highway 62, Idalou, TX, US",33.65771174,-101.7029660067
2018-04-26,2018,4,26,"Midland County, US-TX, US",31.99623861,-102.10981763
2018-05-05,2018,5,5,"Texas, US",30.4893364904,-103.9937046036
2018-05-03,2018,5,3,"Texas, US",28.2396281602,-98.7512593351
2018-05-02,2018,5,2,"Salineno, TX, USA",26.5244919846,-99.1214311123
2018-04-24,2018,4,24,"Taylor Rd, Ozona, TX, US",30.7270739765,-101.0714065842
2018-04-24,2018,4,24,"Nueva Vista Golf Club, Midland, TX, US",32.0035169863,-102.17379699
2018-04-22,2018,4,22,"Texas, US",31.1697674479,-101.0394240747
2018-04-22,2018,4,22,"Texas, US",31.0849032979,-101.0404072566
2018-04-22,2018,4,22,"Texas, US",31.0190472903,-101.008255783
2018-04-08,2018,4,8,"County Road 203, Ozona, TX, US",30.8037404191,-101.0935080012
2018-04-08,2018,4,8,"Crockett County, US-TX, US",30.7381867,-101.1976644
2018-04-05,2018,4,5,"Midkiff, TX  79755, Midkiff, TX, US",31.4104370261,-102.2428561282
2018-03-27,2018,3,27,"Calliham, TX  78007, Calliham, TX, US",28.5104574915,-98.469838556
2018-03-25,2018,3,25,"Laredo, TX  78045, Laredo, TX, US",27.6784783333,-99.29673
2016-02-29,2016,2,29,"Bahía Grande, Texas, USA",26.0746608182,-97.3056169805
2009-09-16,2009,9,16,"Marathon, TX 79842, USA",30.2123128605,-103.2378923893
2004-04-25,2004,4,25,"Dallam County, TX, USA",36.4997765684,-102.8949022293
2014-08-01,2014,8,1,"Aspermont, TX  79502, Aspermont, TX, US",33.048082857,-100.5113143345
2012-08-22,2012,8,22,"Snyder, TX  79549, Snyder, TX, US",33.0404377654,-100.5214600099
2010-09-17,2010,9,17,"Snyder, TX  79549, Snyder, TX, US",33.0540659107,-100.5201283796
2010-07-03,2010,7,3,"Aspermont, TX  79502, Aspermont, TX, US",33.0568398316,-100.5039843746
2017-11-17,2017,11,17,"Karnes City, TX 78118, USA",28.8849772,-97.9008355
2016-08-22,2016,8,22,"Jeff Davis County, TX, USA",30.6259189548,-104.2751586159
2016-06-23,2016,6,23,"Baylor County, TX, USA",33.6847231104,-99.0705546458
